step,accuracy,auroc,f1_micro,f1_macro,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3556,0.7385347222222222,0.3556,0.287261459099231,18.399905214865164,0.4918042281534908,0.3556,0.1448206901550293
1,0.4249,0.7778269444444444,0.4249,0.3047948840969064,14.94865301596739,0.5574903721700557,0.42489999999999994,0.3024148941040039
2,0.6146,0.8389194,0.6146,0.5151861475947765,11.130662182890607,0.6855573201552196,0.6146,0.31990933418273926
3,0.7023,0.8904733111111112,0.7023,0.6300378713668106,7.581091842796859,0.7778296117491739,0.7022999999999999,0.3062775135040283
4,0.8387,0.9889318333333333,0.8387,0.8325326020937028,0.595865510275204,0.9477299609999065,0.8387,0.3062777519226074
5,0.9201,0.9951591444444444,0.9201,0.9202351370527388,0.3555739308776831,0.9731678230960819,0.9201,0.3212907314300537
6,0.9198,0.9956229333333333,0.9198,0.9194995204767006,0.32374232904263983,0.9755023313462464,0.9198000000000001,0.3070836067199707
7,0.9308,0.9963170222222221,0.9308,0.9311936556101825,0.27661411430707167,0.9778643805247974,0.9308,0.3205893039703369
8,0.9335,0.9965875000000001,0.9335,0.9338028384958713,0.25083436107880136,0.979474883546315,0.9334999999999999,0.28076791763305664
9,0.9383,0.9968295666666667,0.9383,0.9383018066650586,0.2346794390645072,0.980161620775398,0.9382999999999999,0.3262968063354492
10,0.9393,0.9965093666666667,0.9393,0.9399546016812922,0.22530027661176286,0.9791493603452475,0.9393,0.2852628231048584
11,0.9395,0.996528811111111,0.9395,0.9402610642498553,0.2158492818188803,0.9797564245123344,0.9395,0.316234827041626
12,0.9444,0.9968537777777777,0.9444,0.9449798150121239,0.19933929841691697,0.9815235250375054,0.9443999999999999,0.2941014766693115
13,0.9494,0.9974397777777778,0.9494,0.9497506317065175,0.17649048252633934,0.9841417322995076,0.9494,0.3259739875793457
14,0.9509,0.9975371111111111,0.9509,0.9511871299346583,0.17148717934378563,0.9844427016257786,0.9509000000000001,0.28298068046569824
15,0.9536,0.9978482666666668,0.9536,0.9539660680331405,0.16072291946589953,0.9869548011205126,0.9536,0.30703139305114746
16,0.9522,0.9976346333333332,0.9522,0.9526879455216811,0.16492889851547524,0.9859437615191231,0.9521999999999998,0.2840080261230469
17,0.9541,0.9978203000000001,0.9541,0.954476523648421,0.15872532570869935,0.9860927286996708,0.9541000000000001,0.3079826831817627
18,0.9546,0.9979829,0.9546,0.9549006036148133,0.15116023236866025,0.9869113153087973,0.9545999999999999,0.28510570526123047
19,0.9546,0.9979709777777777,0.9546,0.9549137106953202,0.14967159614100198,0.9867176247268568,0.9545999999999999,0.34107136726379395
20,0.9551,0.9979854777777778,0.9551,0.9553649040789676,0.14806782959465156,0.9868826426082054,0.9551000000000001,0.30027222633361816
21,0.9584,0.9982283555555556,0.9584,0.9585398349538533,0.13839806585356082,0.9880306652828494,0.9583999999999999,0.34331226348876953
22,0.9587,0.9983837000000001,0.9587,0.9588044978555329,0.13273166074990894,0.9888568189258354,0.9587,0.3242943286895752
23,0.958,0.9982224444444444,0.958,0.9581733383542284,0.13936264655230152,0.9875359942741101,0.9579999999999999,0.32029056549072266
24,0.9595,0.9983918222222222,0.9595,0.9596445813018942,0.13444420858803513,0.9887515563118127,0.9594999999999999,0.29326701164245605
25,0.9589,0.9984102666666665,0.9589,0.9590169986064293,0.13472532090476197,0.9888791473465688,0.9589000000000001,0.3292996883392334
26,0.9578,0.9984213777777778,0.9578,0.9579515830048457,0.13363761109526398,0.9888618189651938,0.9578,0.29526805877685547
27,0.9593,0.9983684999999998,0.9593,0.9594300926800852,0.13910999426369783,0.988852787553564,0.9593,0.32829809188842773
28,0.96,0.998433988888889,0.96,0.9600934148369473,0.13662136222402774,0.9892092988371897,0.9600000000000002,0.32629847526550293
