step,accuracy,auroc,f1_micro,f1_macro,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4393,0.7616367666666667,0.4393,0.34359081664185054,14.913147373727755,0.5317814465333467,0.43929999999999997,0.14513111114501953
1,0.5892,0.8539883666666667,0.5892,0.5025104180280663,7.979188974236384,0.667365358098645,0.5892,0.27864956855773926
2,0.7749,0.9724080888888889,0.7749,0.7477596348342179,0.8346406290557352,0.8708144361618642,0.7748999999999999,0.31928086280822754
3,0.849,0.9876195888888889,0.849,0.8504142118501086,0.5991305520150942,0.9447872664215262,0.849,0.28626012802124023
4,0.8764,0.9913455888888887,0.8764,0.8754207973106384,0.4906443816817772,0.9606262459388013,0.8764,0.3172035217285156
5,0.8911,0.9936171222222223,0.8911,0.8898866607440515,0.42015571168378857,0.9681200656837594,0.8911,0.28526949882507324
6,0.9233,0.9955807777777779,0.9233,0.923431376952878,0.3155026293158782,0.9767248509331582,0.9233,0.32101869583129883
7,0.923,0.9956713444444445,0.923,0.9232744375174068,0.31272043119000775,0.9771671179701903,0.9229999999999998,0.301954984664917
8,0.9299,0.9960053222222222,0.9299,0.9303987197810546,0.28058260298357857,0.9805606341621307,0.9299,0.34699106216430664
9,0.9352,0.9966846444444444,0.9352,0.9355422960979995,0.2475561730416755,0.9827255045957128,0.9352,0.31635379791259766
10,0.9423,0.9973545333333332,0.9423,0.9427560646763796,0.2251843931400471,0.9855888731410021,0.9423,0.31159281730651855
11,0.9466,0.9974993555555557,0.9466,0.9475594848285972,0.20228559171129745,0.9865920960755968,0.9465999999999999,0.3018462657928467
12,0.9491,0.9977633666666665,0.9491,0.9498991021798613,0.1849549914976333,0.987418480131311,0.9490999999999999,0.31341075897216797
13,0.9465,0.9975934444444444,0.9465,0.9474767459410834,0.18678484438613518,0.986818997909108,0.9465,0.30027270317077637
14,0.952,0.9978631888888888,0.952,0.9526335895674558,0.16750541362869037,0.9876470025424252,0.952,0.30828022956848145
15,0.9488,0.9978604000000001,0.9488,0.9493001639448646,0.17089766455086497,0.9873647349476927,0.9488000000000001,0.2979583740234375
16,0.9515,0.9980218222222221,0.9515,0.9518804683974385,0.160584601450819,0.9886870661990684,0.9515,0.30527758598327637
17,0.952,0.9979784666666666,0.952,0.9523871357918061,0.15944402041485,0.9884155628583008,0.952,0.3172295093536377
18,0.9541,0.9979138555555556,0.9541,0.9543669161258304,0.15698001538887987,0.9882640875518576,0.9541000000000001,0.3142850399017334
19,0.9576,0.9980414888888888,0.9576,0.9577173888708039,0.14859099258821476,0.9886797758802413,0.9576,0.30516529083251953
20,0.956,0.998089088888889,0.956,0.9561428172700879,0.14784925890792694,0.9886940476643362,0.9559999999999998,0.3133277893066406
21,0.9595,0.9982241777777776,0.9595,0.9595914702303293,0.14160475435513578,0.9894752581667172,0.9594999999999999,0.31028199195861816
22,0.9589,0.9982940999999999,0.9589,0.9590013299870638,0.13911149511201581,0.9897964305357647,0.9589000000000001,0.31328487396240234
23,0.9604,0.9983182222222222,0.9604,0.9605070075148594,0.13695439026024933,0.9900202946635691,0.9604000000000001,0.31021618843078613
24,0.959,0.9982488999999999,0.959,0.9590736232838395,0.1368716232644196,0.9895205675979627,0.9589999999999999,0.31311655044555664
25,0.9584,0.9982256222222222,0.9584,0.9584492403921848,0.13896762610502045,0.989223315469463,0.9583999999999999,0.30794858932495117
26,0.9586,0.9982073444444444,0.9586,0.9586458160098186,0.13959497398416407,0.9892031930044267,0.9585999999999999,0.3128962516784668
27,0.9595,0.9982255666666665,0.9595,0.9595532110129741,0.13868158629423177,0.9892764294564605,0.9594999999999999,0.31181883811950684
28,0.9601,0.9983476333333334,0.9601,0.9602074613669869,0.13089407904486383,0.9899155647795531,0.9601,0.3092832565307617
29,0.9622,0.9984516444444443,0.9622,0.9623077220389156,0.12670723784812568,0.9905001554094106,0.9621999999999999,0.31435060501098633
30,0.9622,0.9985071666666666,0.9622,0.9622851653864364,0.12413746172090782,0.9908407412578099,0.9621999999999999,0.33205175399780273
31,0.9627,0.9984907111111111,0.9627,0.9627572977505802,0.12302823545962424,0.9906694644492994,0.9627000000000001,0.31828880310058594
32,0.9619,0.9984443444444444,0.9619,0.9619656980790324,0.12444078166216041,0.9902954819046013,0.9619,0.3142857551574707
33,0.9626,0.9984547555555554,0.9626,0.962652300892507,0.12504715219892745,0.9907475686305365,0.9625999999999999,0.3142855167388916
34,0.9631,0.9983669111111112,0.9631,0.963247936380923,0.12945586535893408,0.9903856058110223,0.9630999999999998,0.3122832775115967
35,0.9619,0.9983937444444445,0.9619,0.9619737849837534,0.13118002021521324,0.9903999763208935,0.9619,0.3202669620513916
36,0.9625,0.9985158555555556,0.9625,0.9625798758968666,0.12518847195420135,0.9910494521852329,0.9624999999999998,0.3178532123565674
37,0.964,0.9985850555555557,0.964,0.9640573727177839,0.12122556117397312,0.9913911089428338,0.9640000000000001,0.31679320335388184
38,0.9648,0.9986599999999999,0.9648,0.9648668830712677,0.11883707214081357,0.9918834855261787,0.9647999999999998,0.31841158866882324
39,0.9646,0.9986230333333335,0.9646,0.9646806436622803,0.11891287164890725,0.9918543011062422,0.9646000000000001,0.3155190944671631
40,0.9654,0.9986847777777778,0.9654,0.96546293240268,0.11769646670373186,0.9921206024697578,0.9654000000000001,0.3705763816833496
41,0.9667,0.9987059555555555,0.9667,0.9667721412671353,0.11621648510452913,0.9921691889185222,0.9667,0.33030056953430176
42,0.966,0.99867,0.966,0.9660736927016039,0.11755385084669169,0.9920773699425688,0.966,0.3343031406402588
43,0.9654,0.9986417,0.9654,0.9654994848497573,0.11872039020951532,0.9918752423627264,0.9654,0.29626917839050293
44,0.9659,0.9986851,0.9659,0.9659864809685983,0.11729271507940757,0.9920281354230649,0.9659000000000001,0.3533198833465576
45,0.9669,0.9987102777777779,0.9669,0.9669956755634974,0.11838148138195574,0.9922717399346516,0.9668999999999999,0.3413088321685791
46,0.9658,0.9986992000000001,0.9658,0.9658720120906101,0.12047829926891163,0.9921106557990091,0.9658000000000001,0.3363051414489746
47,0.9653,0.9987331333333331,0.9653,0.9653718624366089,0.120595981047699,0.9921904556735086,0.9652999999999998,0.3092813491821289
48,0.966,0.9987543111111112,0.966,0.9660639915227691,0.12074206558383713,0.992285644017557,0.966,0.33569908142089844
49,0.9651,0.9987703222222223,0.9651,0.965201672734254,0.12089029078999372,0.9923286293675474,0.9650999999999998,0.33298301696777344
50,0.9672,0.9988587444444444,0.9672,0.9672862951695251,0.11490792054621023,0.9930041102483462,0.9671999999999998,0.3343033790588379
51,0.9669,0.998886,0.9669,0.9669990027843957,0.11328795125251033,0.9931648932180799,0.9669000000000001,0.3773617744445801
52,0.9673,0.9989145777777779,0.9673,0.9673764566222159,0.1125024384307521,0.9932881070109246,0.9673,0.3142707347869873
53,0.9674,0.9989335888888888,0.9674,0.967460338745672,0.11249598092354099,0.9933631277872423,0.9673999999999999,0.33360934257507324
54,0.9691,0.9989598333333334,0.9691,0.96916205634954,0.11014564291732784,0.9935525796739606,0.9690999999999999,0.3209552764892578
55,0.9679,0.9989152444444445,0.9679,0.9679877696235035,0.11332697077573212,0.9933909269385189,0.9679,0.337665319442749
56,0.968,0.9989116555555555,0.968,0.9680881312986578,0.11410322448915497,0.9932970914891216,0.968,0.30828022956848145
57,0.968,0.9989403444444445,0.968,0.9680842403207623,0.11276669949511847,0.9933606249698504,0.968,0.35031700134277344
58,0.9676,0.9989239777777777,0.9676,0.9677120669937846,0.11473446303957047,0.9932586915032665,0.9676,0.316286563873291
59,0.9683,0.9989209222222222,0.9683,0.9683790954576337,0.11437172475327448,0.9932564250725106,0.9682999999999999,0.34332966804504395
