step,accuracy,auroc,conf_matrix,time
0,0.855,0.9376132920036264,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 14  0  0  0  2  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [15  0  0  0  0  1  1  0  0  0]]",0.020020246505737305
1,0.935,0.988865594366198,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 14  0  0  0  2  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 1  0  0  0  0  0  0  0  0 16]]",0.02113175392150879
2,0.935,0.9892792097263952,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 14  0  0  0  2  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 1  0  0  0  0  0  0  0  0 16]]",0.023020029067993164
3,0.935,0.9895208599106404,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 14  0  0  0  2  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 1  0  0  0  0  0  0  0  0 16]]",0.023020505905151367
4,0.94,0.9901421989327741,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 14  0  0  0  2  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 1  0  0  0  0  0  0  0  0 16]]",0.023021221160888672
5,0.94,0.9901421989327741,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 14  0  0  0  2  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 1  0  0  0  0  0  0  0  0 16]]",0.023021459579467773
6,0.94,0.9900198930066487,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 14  0  0  0  2  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 1  0  0  0  0  0  0  0  0 16]]",0.031028270721435547
7,0.93,0.983759078504756,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 12  0  0  0  4  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 24  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 1  0  0  0  0  0  0  0  0 16]]",0.023021221160888672
8,0.925,0.9837794058419584,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 12  0  0  0  4  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 22  0  0  2]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.024022817611694336
9,0.925,0.9839186314267231,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 12  0  0  0  4  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  0  0  0  0 22  0  0  0  0]
 [ 1  0  0  1  0  0 22  0  0  2]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.024022340774536133
10,0.93,0.9821443856641002,"[[20  2  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [ 1  0 25  0  0  0  1  0  0  0]
 [ 0  0  0 16  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  0 21  0  0  0  0]
 [ 1  0  0  1  0  0 22  0  0  2]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.02602362632751465
11,0.875,0.9682290917092239,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  0 21  0  0  0  0]
 [ 2  0  0  1  0  0 21  0  0  2]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.025023698806762695
