step,accuracy,auroc,conf_matrix,time
12,0.88,0.9679391470430673,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  0 21  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.02602410316467285
13,0.88,0.9680910948081305,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  0 21  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.03803563117980957
14,0.865,0.9682814461526709,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.02602362632751465
15,0.865,0.9683092239304486,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.05805206298828125
16,0.865,0.968576583591138,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.038033485412597656
17,0.865,0.9689312060621738,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.03603219985961914
18,0.865,0.969462018584181,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.027025222778320312
19,0.865,0.9728622558191237,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.025023221969604492
20,0.865,0.9746415424784132,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.029025554656982422
21,0.865,0.9746629511703422,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.027023792266845703
22,0.865,0.9752254160764323,"[[21  1  0  0  0  0  0  0  0  0]
 [ 0 15  0  0  0  1  0  0  0  0]
 [12  0 15  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.026023387908935547
23,0.85,0.9783353564799256,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [10  0 17  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.027024507522583008
24,0.85,0.9784998415484016,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [10  0 17  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.029026269912719727
25,0.85,0.9797315690986329,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [10  0 17  0  0  0  0  0  0  0]
 [ 1  0  0 15  0  0  4  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 2  0  0  1  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.028024911880493164
26,0.86,0.9777011120944035,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 9  0 17  1  0  0  0  0  0  0]
 [ 0  0  0 17  0  0  3  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 1  0  0  2  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.029026508331298828
27,0.86,0.9776328183671502,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 9  0 17  1  0  0  0  0  0  0]
 [ 0  0  0 17  0  0  3  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 1  0  0  2  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.028025388717651367
28,0.88,0.9806974093541063,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 17  0  0  3  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 1  0  0  2  0  0 22  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.031028032302856445
29,0.88,0.9815682505355353,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 1  0  0  3  0  0 21  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.028024911880493164
30,0.88,0.98172336944326,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 20  0  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 1  0  0  3  0  0 21  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.030027151107788086
31,0.875,0.9818452338086306,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 1  0  0  3  0  0 21  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.029026508331298828
32,0.875,0.9829893615637978,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 12  2  0  0  2  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  0  0  0  3 19  0  0  0  0]
 [ 1  0  0  3  0  0 21  0  0  1]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.030027389526367188
33,0.885,0.9841384802797621,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 12  2  0  0  2  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  0  0  0  3 19  0  0  0  0]
 [ 0  0  0  3  0  0 23  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.029027223587036133
34,0.885,0.9843200918758791,"[[18  1  3  0  0  0  0  0  0  0]
 [ 0 12  2  0  0  2  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  0  0  0  3 19  0  0  0  0]
 [ 0  0  0  3  0  0 23  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.036032915115356445
35,0.895,0.9872782921164653,"[[20  1  1  0  0  0  0  0  0  0]
 [ 0 12  2  0  0  2  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  0  0  0  3 19  0  0  0  0]
 [ 0  0  0  3  0  0 23  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.04003715515136719
36,0.895,0.98743181547549,"[[20  1  1  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 0  0  0  3  0  0 23  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.040035247802734375
37,0.895,0.98743181547549,"[[20  1  1  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 0  0  0  3  0  0 23  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.0420384407043457
38,0.895,0.9875388589351346,"[[20  1  1  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 0  0  0  3  0  0 23  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.06005454063415527
39,0.895,0.991327426562437,"[[20  1  1  0  0  0  0  0  0  0]
 [ 0 13  2  0  0  1  0  0  0  0]
 [ 5  0 21  1  0  0  0  0  0  0]
 [ 0  0  0 18  0  0  2  0  0  0]
 [ 0  0  0  0 19  1  0  0  0  0]
 [ 0  1  0  0  3 18  0  0  0  0]
 [ 0  0  0  3  0  0 23  0  0  0]
 [ 0  0  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  0  0  0  0 16  0]
 [ 0  0  0  0  0  0  0  0  0 17]]",0.038033485412597656
